date,name,saled_price,capacity,type
2023-08-01,캐스퍼,79200,4,가솔린
2023-08-01,더 뉴 K3,79800,4,가솔린
2023-08-01,아반떼 AD ,79800,4,가솔린
2023-08-01,올 뉴 아반떼,79800,4,가솔린
2023-08-01,INTERACTIVE K5,123600,4,가솔린
2023-08-01,볼트,72100,4,전기차
2023-08-01,쏘나타 DN8,123600,4,가솔린
2023-08-01,INTERACTIVE K5,127200,4,하이브리드
2023-08-01,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-01,니로,98100,4,전기차
2023-08-01,EV6 2WD,145200,4,전기차
2023-08-01,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-01,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-01,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-01,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-01,스타리아,182400,1,디젤
2023-08-01,카니발 KA4,196200,9,디젤
2023-08-01,EV6 4WD,198000,4,전기차
2023-08-01,K8 2.5,207000,4,가솔린
2023-08-01,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-01,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-01,All New G80 2.5,289800,4,가솔린
2023-08-01,G90 3.8,348000,4,가솔린
2023-08-01,ALL NEW K3,72600,4,가솔린
2023-08-01,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-01,쏘렌토 MQ4,178200,5,하이브리드
2023-08-01,더 뉴 카니발,196200,9,디젤
2023-08-01,팰리세이드 2WD,224400,7,디젤
2023-08-01,GV80 4WD,327000,5,디젤
2023-08-02,더 뉴 K3,79800,4,가솔린
2023-08-02,올 뉴 아반떼,79800,4,가솔린
2023-08-02,INTERACTIVE K5,123600,4,가솔린
2023-08-02,볼트,72100,4,전기차
2023-08-02,쏘나타 DN8,123600,4,가솔린
2023-08-02,INTERACTIVE K5,127200,4,하이브리드
2023-08-02,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-02,니로,98100,4,전기차
2023-08-02,EV6 2WD,145200,4,전기차
2023-08-02,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-02,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-02,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-02,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-02,스타리아,182400,1,디젤
2023-08-02,카니발 KA4,196200,9,디젤
2023-08-02,EV6 4WD,198000,4,전기차
2023-08-02,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-02,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-02,All New G80 2.5,289800,4,가솔린
2023-08-02,G90 3.8,348000,4,가솔린
2023-08-02,ALL NEW K3,72600,4,가솔린
2023-08-02,캐스퍼,79200,4,가솔린
2023-08-02,아반떼 AD ,79800,4,가솔린
2023-08-02,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-02,쏘렌토 MQ4,178200,5,하이브리드
2023-08-02,더 뉴 카니발,196200,9,디젤
2023-08-02,K8 2.5,207000,4,가솔린
2023-08-02,팰리세이드 2WD,224400,7,디젤
2023-08-02,GV80 4WD,327000,5,디젤
2023-08-03,더 뉴 K3,79800,4,가솔린
2023-08-03,올 뉴 아반떼,79800,4,가솔린
2023-08-03,INTERACTIVE K5,123600,4,가솔린
2023-08-03,볼트,72100,4,전기차
2023-08-03,쏘나타 DN8,123600,4,가솔린
2023-08-03,INTERACTIVE K5,127200,4,하이브리드
2023-08-03,니로,98100,4,전기차
2023-08-03,EV6 2WD,145200,4,전기차
2023-08-03,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-03,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-03,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-03,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-03,스타리아,182400,1,디젤
2023-08-03,EV6 4WD,198000,4,전기차
2023-08-03,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-03,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-03,All New G80 2.5,289800,4,가솔린
2023-08-03,G90 3.8,348000,4,가솔린
2023-08-03,ALL NEW K3,72600,4,가솔린
2023-08-03,캐스퍼,79200,4,가솔린
2023-08-03,아반떼 AD ,79800,4,가솔린
2023-08-03,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-03,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-03,쏘렌토 MQ4,178200,5,하이브리드
2023-08-03,더 뉴 카니발,196200,9,디젤
2023-08-03,카니발 KA4,196200,9,디젤
2023-08-03,K8 2.5,207000,4,가솔린
2023-08-03,팰리세이드 2WD,224400,7,디젤
2023-08-03,GV80 4WD,327000,5,디젤
2023-08-04,더 뉴 K3,79800,4,가솔린
2023-08-04,올 뉴 아반떼,79800,4,가솔린
2023-08-04,INTERACTIVE K5,123600,4,가솔린
2023-08-04,볼트,72100,4,전기차
2023-08-04,쏘나타 DN8,123600,4,가솔린
2023-08-04,INTERACTIVE K5,127200,4,하이브리드
2023-08-04,니로,98100,4,전기차
2023-08-04,EV6 2WD,145200,4,전기차
2023-08-04,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-04,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-04,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-04,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-04,스타리아,182400,1,디젤
2023-08-04,EV6 4WD,198000,4,전기차
2023-08-04,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-04,팰리세이드 2WD,224400,7,디젤
2023-08-04,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-04,All New G80 2.5,289800,4,가솔린
2023-08-04,G90 3.8,348000,4,가솔린
2023-08-04,ALL NEW K3,72600,4,가솔린
2023-08-04,캐스퍼,79200,4,가솔린
2023-08-04,아반떼 AD ,79800,4,가솔린
2023-08-04,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-04,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-04,쏘렌토 MQ4,178200,5,하이브리드
2023-08-04,더 뉴 카니발,196200,9,디젤
2023-08-04,카니발 KA4,196200,9,디젤
2023-08-04,K8 2.5,207000,4,가솔린
2023-08-04,GV80 4WD,327000,5,디젤
2023-08-05,더 뉴 K3,86450,4,가솔린
2023-08-05,아반떼 AD ,86450,4,가솔린
2023-08-05,올 뉴 아반떼,86450,4,가솔린
2023-08-05,INTERACTIVE K5,133900,4,가솔린
2023-08-05,볼트,72100,4,전기차
2023-08-05,쏘나타 DN8,133900,4,가솔린
2023-08-05,INTERACTIVE K5,137800,4,하이브리드
2023-08-05,니로,98100,4,전기차
2023-08-05,EV6 2WD,157300,4,전기차
2023-08-05,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-05,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-05,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-05,스타리아,197600,1,디젤
2023-08-05,카니발 KA4,212550,9,디젤
2023-08-05,EV6 4WD,214500,4,전기차
2023-08-05,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-05,팰리세이드 2WD,243100,7,디젤
2023-08-05,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-05,All New G80 2.5,313950,4,가솔린
2023-08-05,G90 3.8,377000,4,가솔린
2023-08-05,ALL NEW K3,78650,4,가솔린
2023-08-05,캐스퍼,85800,4,가솔린
2023-08-05,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-05,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-05,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-05,쏘렌토 MQ4,193050,5,하이브리드
2023-08-05,더 뉴 카니발,212550,9,디젤
2023-08-05,K8 2.5,224250,4,가솔린
2023-08-05,GV80 4WD,354250,5,디젤
2023-08-06,캐스퍼,85800,4,가솔린
2023-08-06,더 뉴 K3,86450,4,가솔린
2023-08-06,아반떼 AD ,86450,4,가솔린
2023-08-06,올 뉴 아반떼,86450,4,가솔린
2023-08-06,INTERACTIVE K5,133900,4,가솔린
2023-08-06,볼트,72100,4,전기차
2023-08-06,쏘나타 DN8,133900,4,가솔린
2023-08-06,INTERACTIVE K5,137800,4,하이브리드
2023-08-06,니로,98100,4,전기차
2023-08-06,EV6 2WD,157300,4,전기차
2023-08-06,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-06,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-06,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-06,스타리아,197600,1,디젤
2023-08-06,카니발 KA4,212550,9,디젤
2023-08-06,EV6 4WD,214500,4,전기차
2023-08-06,K8 2.5,224250,4,가솔린
2023-08-06,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-06,팰리세이드 2WD,243100,7,디젤
2023-08-06,All New G80 2.5,313950,4,가솔린
2023-08-06,GV80 4WD,354250,5,디젤
2023-08-06,G90 3.8,377000,4,가솔린
2023-08-06,ALL NEW K3,78650,4,가솔린
2023-08-06,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-06,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-06,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-06,쏘렌토 MQ4,193050,5,하이브리드
2023-08-06,더 뉴 카니발,212550,9,디젤
2023-08-06,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-07,캐스퍼,79200,4,가솔린
2023-08-07,더 뉴 K3,79800,4,가솔린
2023-08-07,아반떼 AD ,79800,4,가솔린
2023-08-07,올 뉴 아반떼,79800,4,가솔린
2023-08-07,INTERACTIVE K5,123600,4,가솔린
2023-08-07,볼트,72100,4,전기차
2023-08-07,쏘나타 DN8,123600,4,가솔린
2023-08-07,INTERACTIVE K5,127200,4,하이브리드
2023-08-07,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-07,니로,98100,4,전기차
2023-08-07,EV6 2WD,145200,4,전기차
2023-08-07,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-07,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-07,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-07,스타리아,182400,1,디젤
2023-08-07,더 뉴 카니발,196200,9,디젤
2023-08-07,카니발 KA4,196200,9,디젤
2023-08-07,EV6 4WD,198000,4,전기차
2023-08-07,K8 2.5,207000,4,가솔린
2023-08-07,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-07,팰리세이드 2WD,224400,7,디젤
2023-08-07,All New G80 2.5,289800,4,가솔린
2023-08-07,GV80 4WD,327000,5,디젤
2023-08-07,G90 3.8,348000,4,가솔린
2023-08-07,ALL NEW K3,72600,4,가솔린
2023-08-07,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-07,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-07,쏘렌토 MQ4,178200,5,하이브리드
2023-08-07,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-08,캐스퍼,79200,4,가솔린
2023-08-08,더 뉴 K3,79800,4,가솔린
2023-08-08,아반떼 AD ,79800,4,가솔린
2023-08-08,올 뉴 아반떼,79800,4,가솔린
2023-08-08,INTERACTIVE K5,123600,4,가솔린
2023-08-08,볼트,72100,4,전기차
2023-08-08,쏘나타 DN8,123600,4,가솔린
2023-08-08,INTERACTIVE K5,127200,4,하이브리드
2023-08-08,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-08,EV6 2WD,145200,4,전기차
2023-08-08,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-08,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-08,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-08,스타리아,182400,1,디젤
2023-08-08,더 뉴 카니발,196200,9,디젤
2023-08-08,카니발 KA4,196200,9,디젤
2023-08-08,EV6 4WD,198000,4,전기차
2023-08-08,K8 2.5,207000,4,가솔린
2023-08-08,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-08,팰리세이드 2WD,224400,7,디젤
2023-08-08,All New G80 2.5,289800,4,가솔린
2023-08-08,GV80 4WD,327000,5,디젤
2023-08-08,G90 3.8,348000,4,가솔린
2023-08-08,ALL NEW K3,72600,4,가솔린
2023-08-08,니로,98100,4,전기차
2023-08-08,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-08,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-08,쏘렌토 MQ4,178200,5,하이브리드
2023-08-08,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-09,캐스퍼,79200,4,가솔린
2023-08-09,더 뉴 K3,79800,4,가솔린
2023-08-09,올 뉴 아반떼,79800,4,가솔린
2023-08-09,INTERACTIVE K5,123600,4,가솔린
2023-08-09,볼트,72100,4,전기차
2023-08-09,쏘나타 DN8,123600,4,가솔린
2023-08-09,INTERACTIVE K5,127200,4,하이브리드
2023-08-09,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-09,EV6 2WD,145200,4,전기차
2023-08-09,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-09,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-09,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-09,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-09,스타리아,182400,1,디젤
2023-08-09,더 뉴 카니발,196200,9,디젤
2023-08-09,카니발 KA4,196200,9,디젤
2023-08-09,EV6 4WD,198000,4,전기차
2023-08-09,K8 2.5,207000,4,가솔린
2023-08-09,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-09,팰리세이드 2WD,224400,7,디젤
2023-08-09,All New G80 2.5,289800,4,가솔린
2023-08-09,GV80 4WD,327000,5,디젤
2023-08-09,G90 3.8,348000,4,가솔린
2023-08-09,ALL NEW K3,72600,4,가솔린
2023-08-09,아반떼 AD ,79800,4,가솔린
2023-08-09,니로,98100,4,전기차
2023-08-09,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-09,쏘렌토 MQ4,178200,5,하이브리드
2023-08-09,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-10,캐스퍼,79200,4,가솔린
2023-08-10,더 뉴 K3,79800,4,가솔린
2023-08-10,올 뉴 아반떼,79800,4,가솔린
2023-08-10,INTERACTIVE K5,123600,4,가솔린
2023-08-10,볼트,72100,4,전기차
2023-08-10,쏘나타 DN8,123600,4,가솔린
2023-08-10,INTERACTIVE K5,127200,4,하이브리드
2023-08-10,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-10,EV6 2WD,145200,4,전기차
2023-08-10,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-10,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-10,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-10,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-10,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-10,스타리아,182400,1,디젤
2023-08-10,더 뉴 카니발,196200,9,디젤
2023-08-10,카니발 KA4,196200,9,디젤
2023-08-10,EV6 4WD,198000,4,전기차
2023-08-10,K8 2.5,207000,4,가솔린
2023-08-10,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-10,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-10,All New G80 2.5,289800,4,가솔린
2023-08-10,GV80 4WD,327000,5,디젤
2023-08-10,G90 3.8,348000,4,가솔린
2023-08-10,ALL NEW K3,72600,4,가솔린
2023-08-10,아반떼 AD ,79800,4,가솔린
2023-08-10,니로,98100,4,전기차
2023-08-10,쏘렌토 MQ4,178200,5,하이브리드
2023-08-10,팰리세이드 2WD,224400,7,디젤
2023-08-11,캐스퍼,79200,4,가솔린
2023-08-11,더 뉴 K3,79800,4,가솔린
2023-08-11,올 뉴 아반떼,79800,4,가솔린
2023-08-11,INTERACTIVE K5,123600,4,가솔린
2023-08-11,볼트,72100,4,전기차
2023-08-11,쏘나타 DN8,123600,4,가솔린
2023-08-11,INTERACTIVE K5,127200,4,하이브리드
2023-08-11,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-11,EV6 2WD,145200,4,전기차
2023-08-11,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-11,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-11,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-11,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-11,스타리아,182400,1,디젤
2023-08-11,더 뉴 카니발,196200,9,디젤
2023-08-11,카니발 KA4,196200,9,디젤
2023-08-11,EV6 4WD,198000,4,전기차
2023-08-11,K8 2.5,207000,4,가솔린
2023-08-11,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-11,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-11,All New G80 2.5,289800,4,가솔린
2023-08-11,GV80 4WD,327000,5,디젤
2023-08-11,G90 3.8,348000,4,가솔린
2023-08-11,ALL NEW K3,72600,4,가솔린
2023-08-11,아반떼 AD ,79800,4,가솔린
2023-08-11,니로,98100,4,전기차
2023-08-11,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-11,쏘렌토 MQ4,178200,5,하이브리드
2023-08-11,팰리세이드 2WD,224400,7,디젤
2023-08-12,캐스퍼,85800,4,가솔린
2023-08-12,더 뉴 K3,86450,4,가솔린
2023-08-12,올 뉴 아반떼,86450,4,가솔린
2023-08-12,INTERACTIVE K5,133900,4,가솔린
2023-08-12,볼트,72100,4,전기차
2023-08-12,쏘나타 DN8,133900,4,가솔린
2023-08-12,INTERACTIVE K5,137800,4,하이브리드
2023-08-12,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-12,EV6 2WD,157300,4,전기차
2023-08-12,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-12,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-12,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-12,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-12,스타리아,197600,1,디젤
2023-08-12,더 뉴 카니발,212550,9,디젤
2023-08-12,카니발 KA4,212550,9,디젤
2023-08-12,EV6 4WD,214500,4,전기차
2023-08-12,K8 2.5,224250,4,가솔린
2023-08-12,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-12,팰리세이드 2WD,243100,7,디젤
2023-08-12,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-12,All New G80 2.5,313950,4,가솔린
2023-08-12,GV80 4WD,354250,5,디젤
2023-08-12,G90 3.8,377000,4,가솔린
2023-08-12,ALL NEW K3,78650,4,가솔린
2023-08-12,아반떼 AD ,86450,4,가솔린
2023-08-12,니로,98100,4,전기차
2023-08-12,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-12,쏘렌토 MQ4,193050,5,하이브리드
2023-08-13,캐스퍼,85800,4,가솔린
2023-08-13,더 뉴 K3,86450,4,가솔린
2023-08-13,올 뉴 아반떼,86450,4,가솔린
2023-08-13,INTERACTIVE K5,133900,4,가솔린
2023-08-13,볼트,72100,4,전기차
2023-08-13,쏘나타 DN8,133900,4,가솔린
2023-08-13,INTERACTIVE K5,137800,4,하이브리드
2023-08-13,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-13,EV6 2WD,157300,4,전기차
2023-08-13,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-13,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-13,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-13,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-13,스타리아,197600,1,디젤
2023-08-13,더 뉴 카니발,212550,9,디젤
2023-08-13,카니발 KA4,212550,9,디젤
2023-08-13,EV6 4WD,214500,4,전기차
2023-08-13,K8 2.5,224250,4,가솔린
2023-08-13,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-13,팰리세이드 2WD,243100,7,디젤
2023-08-13,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-13,All New G80 2.5,313950,4,가솔린
2023-08-13,GV80 4WD,354250,5,디젤
2023-08-13,G90 3.8,377000,4,가솔린
2023-08-13,ALL NEW K3,78650,4,가솔린
2023-08-13,아반떼 AD ,86450,4,가솔린
2023-08-13,니로,98100,4,전기차
2023-08-13,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-13,쏘렌토 MQ4,193050,5,하이브리드
2023-08-14,캐스퍼,79200,4,가솔린
2023-08-14,더 뉴 K3,79800,4,가솔린
2023-08-14,올 뉴 아반떼,79800,4,가솔린
2023-08-14,INTERACTIVE K5,123600,4,가솔린
2023-08-14,볼트,72100,4,전기차
2023-08-14,쏘나타 DN8,123600,4,가솔린
2023-08-14,INTERACTIVE K5,127200,4,하이브리드
2023-08-14,EV6 2WD,145200,4,전기차
2023-08-14,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-14,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-14,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-14,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-14,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-14,스타리아,182400,1,디젤
2023-08-14,더 뉴 카니발,196200,9,디젤
2023-08-14,카니발 KA4,196200,9,디젤
2023-08-14,EV6 4WD,198000,4,전기차
2023-08-14,K8 2.5,207000,4,가솔린
2023-08-14,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-14,팰리세이드 2WD,224400,7,디젤
2023-08-14,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-14,All New G80 2.5,289800,4,가솔린
2023-08-14,GV80 4WD,327000,5,디젤
2023-08-14,G90 3.8,348000,4,가솔린
2023-08-14,ALL NEW K3,72600,4,가솔린
2023-08-14,아반떼 AD ,79800,4,가솔린
2023-08-14,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-14,니로,98100,4,전기차
2023-08-14,쏘렌토 MQ4,178200,5,하이브리드
2023-08-15,캐스퍼,85800,4,가솔린
2023-08-15,더 뉴 K3,86450,4,가솔린
2023-08-15,올 뉴 아반떼,86450,4,가솔린
2023-08-15,INTERACTIVE K5,133900,4,가솔린
2023-08-15,볼트,72100,4,전기차
2023-08-15,쏘나타 DN8,133900,4,가솔린
2023-08-15,INTERACTIVE K5,137800,4,하이브리드
2023-08-15,EV6 2WD,157300,4,전기차
2023-08-15,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-15,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-15,더 뉴 그랜드 스타렉스,172900,1,디젤
2023-08-15,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-15,더 뉴 싼타페 2WD,193050,5,디젤
2023-08-15,스타리아,197600,1,디젤
2023-08-15,더 뉴 카니발,212550,9,디젤
2023-08-15,카니발 KA4,212550,9,디젤
2023-08-15,EV6 4WD,214500,4,전기차
2023-08-15,K8 2.5,224250,4,가솔린
2023-08-15,더 뉴 그랜저 2.4,235950,4,하이브리드
2023-08-15,팰리세이드 2WD,243100,7,디젤
2023-08-15,더 뉴 그랜저 3.3,243750,4,가솔린
2023-08-15,All New G80 2.5,313950,4,가솔린
2023-08-15,GV80 4WD,354250,5,디젤
2023-08-15,G90 3.8,377000,4,가솔린
2023-08-15,ALL NEW K3,78650,4,가솔린
2023-08-15,아반떼 AD ,86450,4,가솔린
2023-08-15,THE ALL NEW NIRO,141700,4,하이브리드
2023-08-15,니로,98100,4,전기차
